Text	Cause
Food feels like a chore — I have to force myself to eat.	4
I keep eating even when I’m full — it’s the only thing that brings a tiny bit of comfort	4
Nothing tastes right anymore, not even my favorites	4
I've lost so much weight, but I didn't even notice — I just don’t get hungry.	4
I eat to fill the emptiness inside, but it never works	4
He’s barely touched his meals for weeks	4
I noticed her pants were hanging off her — she didn’t even realize she was losing weight	4
He eats constantly now, but still looks miserable	4
She used to love food — now she picks at it like it’s a punishment	4
He said he doesn’t see the point of eating anymore	4
I keep apologizing for existing	5
I feel like a burden to everyone — even when they say I’m not	5
Everything that goes wrong, I find a way to blame myself.	5
Even when something isn’t my fault, I convince myself it is.	5
I don’t think I deserve kindness — not from others, not even from myself.	5
I look in the mirror and see someone who’s failed at life	5
I can't stop thinking about mistakes I made years ago — they haunt me every day.	5
Sometimes I think the world would be better off without me	5
I feel ashamed for not being stronger, for not being able to just ‘get over it.’	5
I don’t know how to accept love anymore — I feel too broken to be worthy of it.	5
She says she’s sorry for everything, even when nothing’s wrong	5
He tells me I’d be better off without him — and I don’t know how to convince him otherwise.	5
She punishes herself over the smallest things, like forgetting to do the laundry	5
He thinks he's a failure because he needs help — he can’t see how hard he’s actually trying.	5
She carries guilt for things no one else remembers — it’s like she won’t forgive herself for being human	5
It breaks my heart to hear him say he’s 'useless' when he means everything to us.	5
I'm not trying to die... I just don’t want to feel like this anymore	6
I think about disappearing more than I think about living	6
Sometimes I wonder if people would even notice if I were gone	6
The thought of ending it is the only thing that brings me peace.	6
I don’t want to die, but I don’t know how to keep going either	6
It scares me how calm I feel when I imagine ending it all.	6
Hurting myself feels like the only way to feel something — anything.	6
I don’t tell anyone how bad it gets, because I don’t want to be locked away.	6
Each day I make it through feels like defying gravity with broken wings	6
I’ve written goodbye letters in my head more times than I can count.	6
She said she’s tired of being alive — I didn’t know what to say	6
He left a note once, and ever since then, I watch him constantly.	6
She says she’s ‘fine’ but I found hidden blades in her drawer	6
I’m afraid to leave him alone, even for an hour	6
He told me not to worry, but the way he said it felt like goodbye	6
She keeps giving away her things — that’s what scares me the most.	6
I check on him every night to make sure he’s still breathing.	6
She promised she wouldn’t do it again, but her eyes told a different story.	6
He says he wants the pain to stop — and I don’t know how to help	6
Every time the phone rings, I panic that it’s the worst news.	6
No matter what happens around me, I feel nothing — just this heavy flatness.	7
It’s like life lost its color — everything feels grey, even the things I used to love	7
People tell me sad stories and I know I should cry, but I just sit there, numb	7
It’s not that I’m always sad — it’s that I can’t feel anything deeply anymore.	7
Even when something good happens, I can’t seem to react — it’s like joy is out of reach	7
I watch people laugh or cry and wonder how they do it so easily.	7
Sometimes I fake smiles just to avoid being asked if I’m okay	7
The world keeps moving, but I feel like I’m stuck behind glass.	7
He used to light up when the kids came over — now he barely looks at them.	7
She doesn’t react to good news anymore — it’s like nothing moves her	7
He used to be so expressive. Now his face is blank, even when he talks about emotional things	7
It’s not just sadness — it’s this absence of feeling that scares me the most	7
I showed her old photos and she stared at them like they were strangers	7
When something upsetting happens, he doesn’t flinch — he just stares into space	7
Even when we’re trying to cheer her up, it’s like she’s not really there	7
It feels like I’ve lost her twice — once to the depression, and again to the silence	7
Even when something good happens, it feels like it’s happening to someone else.	7
I know I should feel happy — but the feeling never comes	7
A friend surprised me with a visit, and all I could think was, ‘When will they leave	7
No matter what the day brings, it always ends with the same empty feeling	7
I keep waiting for something — anything — to break through this flatness	7
"I smiled and nodded, but inside I felt like a ghost at my own party.	7
Good days and bad days blur into each other — it all just feels the same	7
Even after getting praise at work, I went home and cried for no reason	7
He got promoted last week — and he barely reacted. It was like it didn’t matter	7
She used to get so excited when our daughter visited. Now she just offers a weak smile and goes back to bed.	7
He said he had a good day, but he still looked completely drained	7
I planned a whole surprise dinner, and she just looked… tired. Not unhappy, just unreachable.	7
Even our anniversary didn’t light him up. It felt like I was celebrating alone	7
My feelings don’t match the moment — everything feels distant, like I’m watching life happen through glass.	7
When something sad happens, I don’t cry. When something funny happens, I don’t laugh. I just exist	7
People around me are moved by things — I just feel nothing. It’s like my emotions shut down	7
Even when I know I should be upset or thrilled, I can’t bring myself to care.	7
	7
I used to cry at movies or laugh until I cried — now I just stare blankly	7
It’s like my emotional dial is stuck on zero, no matter what happens around me	7
I know this should be a moment I’ll remember — but I feel detached from it, like I’m not even here	7
We went to his favorite comedy show, and he sat there like a statue	7
She got terrible news last week, and she just shrugged — not because she didn’t care, but because she couldn’t feel it	7
Even when she’s surrounded by people who love her, it’s like she’s miles away emotionally	7
He used to get so worked up about politics, music, everything — now there’s just silence	7
It’s not that she’s cold — it’s like her emotions are missing entirely.	7
I used to know how she was feeling. Now I look at her and can’t read anything	7
He laughs at my jokes, but it never reaches his eyes	7
She says she feels like a robot — and honestly, sometimes it feels that way too	7
He looks like a painting of himself. All the expression is gone.	7
Even her anger is gone. It’s not peace — it’s vacancy	7
It’s like she’s here in body, but emotionally… it’s like she’s gone	7
She used to cry when she was overwhelmed — now it’s just this deadpan calm that scares me more	7
When our son graduated, she clapped — but I could see the emptiness in her eyes	7
He says he doesn’t remember the last time something truly moved him	7
Sometimes I say something funny, and she smiles — but it feels rehearsed.	7
She reacts to everything the same way — whether it’s good news or bad	7
He used to get teary during old songs — now it’s like he doesn’t even hear them	7
She hugs the children out of habit, but it feels like the warmth is gone	7
I know I used to love my partner — I just can’t remember what that felt like	7
Even when I smile, it doesn’t feel connected to anything inside me	7
I sometimes laugh in conversations, but it feels like muscle memory — not joy	7
My emotional range used to be a symphony. Now it’s a single, flat note	7
	7
Good memories make me sad now, because I can’t feel what they meant to me back then	7
Even when I try to force a reaction, like crying or laughing, nothing comes.	7
I forget what it’s like to be genuinely moved by something — a film, a sunset, even someone hugging me.	7
I feel like I’m playing a role in a movie where the script is blank	7
My emotions are on mute — I can see others feeling things, but I’m behind a soundproof wall	7
My mood flips without warning — one minute I’m okay, the next I’m spiraling	7
It’s like my emotions are on a roller coaster, but I can’t get off	7
I cry over spilled coffee, then sit numb through a funeral — it makes no sense	7
I go from hopeless to angry in seconds, and I don’t understand why	7
Sometimes I feel too much, too fast — other times, I feel nothing at all.	7
I hate that I can’t trust my own feelings — they change like the weather	7
The smallest comment can ruin my whole day, and I hate how sensitive I’ve become	7
I lash out and then feel crushed with guilt an hour later — it’s exhausting	7
Even when I know I’m overreacting, I can’t stop the storm inside me.	7
I never know which version of me is going to wake up tomorrow.	7
She seems okay in the morning, then breaks down by lunch	7
He’s irritable all the time — and then suddenly he’s sobbing without explanation	7
Her emotions are unpredictable — it’s like walking on eggshells	7
He swings from silence to rage and back again within the same hour	7
I never know if I’ll come home to calm, or chaos	7
She says she hates me one moment, then begs me not to leave the next.	7
He cries over tiny things, then shrugs at huge problems — I don’t know what’s real anymore.	7
She gets angry with herself for being ‘too emotional,’ but she can’t help it.	7
His moods come in waves — intense, disorienting, and completely out of his control.	7
Every day feels emotionally unstable — for her, and for us too.	7
No matter what happens, my emotions don’t change — it’s like I’m stuck on one channel.	7
I can’t remember the last time something moved me — even a little.	7
I laugh because people expect me to — not because anything is funny.	7
I miss feeling things. Even the bad stuff. At least it made me feel alive	7
I don’t react to news, music, hugs — it’s like my body shows up, but my emotions stay behind	7
It’s like she’s emotionally frozen. Nothing lights her up, not even her grandchildren	7
He watches sad movies without blinking — it’s eerie.	7
Her smile looks like a reflex, not a real response	7
Some days I’m hollow, other days I’m a storm	7
"I cry at nothing and snap over everything — it’s exhausting.	7
I feel ashamed of my mood swings, but I can’t control them.	7
My emotions shift so fast, I can’t keep up with myself.	7
I hate that I scare the people I love just by being unpredictable.	7
She can go from fine to furious in seconds — we all tiptoe around her.	7
One minute he’s withdrawn, the next he’s sobbing in my arms	7
Her moods don’t just change — they crash and spike like a wave	7
I smiled at the funeral — not because I was okay, but because I didn’t feel anything	7
I say the right things, but inside, nothing lines up with my words.	7
I feel like a spectator in my own life, watching someone else speak and react.	7
I feel bad for not feeling bad — like I’m failing at being human.	7
He didn’t flinch when his mother died. Not because he didn’t care, but because he couldn’t.	7
She smiles and nods like everything’s fine — but her eyes are somewhere else entirely.	7
He talks about tragedy like it’s the weather — calm, removed, unshaken.	7
No matter what happens, my reaction is always the same — nothing	7
I don’t cry anymore, even when I want to	7
Joy used to feel like sunlight — now it’s just a memory	7
She didn’t react when our son got accepted to college — just nodded	7
He looks at family photos like they’re images from a stranger’s life.	7
I can feel fine in the morning, then crash by lunchtime with no warning	7
I swing between anger, guilt, and emptiness in one afternoon.	7
Some days I just snap — and later, I can’t even explain why.	7
She’s either silent or furious — there’s rarely an in-between	7
He’s so sensitive now. One look, one word — and he breaks.	7
I laugh when I’m supposed to, but it doesn’t feel real.	7
People cry around me, and I just sit there, blank	7
I smile because I’m expected to — not because I feel like it	7
She told me she loved me, but it sounded hollow — like she was reading a line	7
He doesn’t flinch when things go wrong anymore — not even a sigh.	7
Even when good things happen, it doesn’t touch me.	7
It’s like happiness bounces off of me instead of sinking in	7
My birthday used to make me happy — now it’s just another day to survive	7
We surprised him with a party — and he thanked us, but I could tell he wasn’t there emotionally.	7
Her laughter used to be contagious. Now it’s gone — even when we try everything to bring it back	7
I feel like I’ve lost the part of me that used to feel alive	7
I used to be passionate — now I barely recognize myself.	7
My emotions feel like echoes of someone I used to be.	7
She used to be so expressive — now it’s like she’s a shadow of herself.	7
I miss the way he used to light up when he talked about his dreams.	7
I feel like I’m already dead inside — ending it would just make it official.	6
Nothing moves me anymore. There’s no point in going on like this	6
Each morning feels like a punishment for being alive.	6
I feel like a failure for needing love and still feeling empty.	6
I can smile in public, but at night I fantasize about not waking up.	6
The highs I feel are never enough to stop the crashing lows	6
My thoughts race — I can’t slow them down — and death feels like the only silence I could trust.	6
I feel like I'm crawling out of my skin. I want to scream or vanish — anything to stop this feeling.	6
The pain is loud and constant. I can’t bear it anymore.	6
The voices say I deserve to die — and sometimes I believe them	6
I’m convinced the world would be better without me — it's not just a feeling, it’s a fact.	6
My mind tells me death is the only escape from this punishment.	6
"I’m terrified all the time — of life, of myself, of what I might do	6
The fear is constant, and ending everything feels like the only way to stop it.	6
My body shakes with panic, and my mind begs me to end it	6
I’ve tried everything. Pills, therapy, everything. Nothing works.	6
I’m exhausted from fighting a war I can’t win	6
I’m scared that this is all there is — endless suffering with no way out.	6
He talks about death so calmly now — like it’s a decision already made.	6
She said the pills weren’t helping, and now I watch her like she might disappear.	6
He stopped talking about the future — even when our baby was born.	6
She gives away her things like she’s preparing to leave.	6
He wrote a note and deleted it. I read enough to know he’s serious.	6
She looks at me like she’s saying goodbye with her eyes.	6
Even the hospital didn’t shake him — he said he’d ‘try harder next time.’	6
I hurt myself because it's the only way I know I’m still real.	6
I can’t trust my feelings — they change so fast I feel like I’m losing my mind.	6
Sometimes I cut because I need the pain to match what’s inside me.	6
I don’t want to die. I just don’t know how to live like this anymore.	6
I wake up hating myself and go to sleep wishing I wouldn’t wake up again	6
I promised myself I’d stop — but the pressure builds and suddenly I’m bleeding again	6
It’s like there's a switch in my head — one second I’m fine, the next I’m planning my death	6
I feel ashamed even before I hurt myself, but I still do it — because it silences the chaos.	6
The suicidal thoughts are always there. Some days, they're whispers. Other days, they scream	6
I keep trying to ask for help, but no one seems to understand how fast everything falls apart	6
I’ve thought about suicide more times than I’ve brushed my teeth this week.	6
The pain doesn’t stop, so the thoughts don’t either	6
Every failed treatment makes me more certain I’ll never get better.	6
I’m scared of dying, but I’m more scared of living like this forever.	6
I don’t tell anyone how dark it gets because I’m afraid they’ll lock me away — or worse, ignore me.	6
She says she doesn’t want to die — but the scars tell another story.	6
He swings between needing love and pushing everyone away — and in between, he hurts himself.	6
I can’t leave her alone for too long. The last time, she overdosed	6
Every time I hear a bang from the bathroom, I run. I never know what I’m about to find.	6
He said the scars help him cope — I don’t know how to respond to that	6
She texts me just after hurting herself. It's her way of asking for help, but it breaks me every time.	6
He tells me he won’t try again, but the way he says it makes me think he already has a plan.	6
I don’t know what’s wrong with me — I just want everything to stop.	6
Sometimes I drink just to quiet the thoughts	6
No one at school sees how hard I’m struggling. I wear long sleeves for a reason.	6
I act like I don’t care, but I think about dying every day.	6
I get in fights because being angry is easier than feeling sad all the time.	6
My parents think I’m lazy — they don’t know I’m barely hanging on.	6
"I stay up at night wondering if tomorrow is worth it	6
They say I’m too young to feel like this — but I don’t feel young, I feel broken	6
I post funny things online, but inside I’m thinking about ending it all.	6
Cutting doesn’t scare me anymore — not feeling anything does.	6
He used to be loud and full of energy — now he barely speaks and sleeps all day	6
She’s failing classes, fighting with us, and hiding everything — and I’m terrified I’m losing her	6
He says he’s fine, but the cuts on his arm tell a different story	6
I found a note in her notebook. It started with ‘If you’re reading this, I’m sorry…	6
We thought it was just teenage mood swings — until he ended up in the ER.	6
She laughs with her friends, then cries alone in her room. I don’t know who she really is anymore	6
He told me he doesn’t plan for the future — because he doesn’t see one	6
She’s not just sad. She’s hurting — and she doesn’t know how to ask for help	6
It feels like I’m stuck in a tunnel with no way out.	6
Every day I wake up disappointed that I didn’t disappear in my sleep.	6
I’ve stopped dreaming about the future — I don’t see myself in it.	6
When people say 'it gets better,' I wonder if they’ve ever felt like this	6
I’m tired of pretending I’m okay when I feel like I’m falling apart inside	6
I get angry so fast — it’s like fire under my skin and no way to put it out	6
I break things or yell, and then I hate myself afterward.	6
The fights I get into are just my way of saying ‘I need help,’ but no one hears me	6
I act like I don’t care because caring hurts too much	6
I started drinking so I could sleep — now I drink to get through the day.	6
The pills quiet the noise in my head for a while, but it always comes back louder.	6
I smoke because it’s the only time I feel relaxed — even if it's temporary	6
When I’m high, I forget how much I hate myself.	6
No one at home listens unless I’m screaming.	6
They argue all the time — I just want peace or silence.	6
My parents say I’m too emotional, but I’ve learned to hide everything now.	6
I told my mom I wanted to die, and she said I was being dramatic.	6
She used to slam doors and scream — now she barely speaks	6
I thought the weed was just teenage rebellion — now I wonder if it’s pain management.	6
He lashes out at school and then collapses at home — like a balloon that just deflated	6
We were so focused on his grades, we missed the signs he wanted to hurt himself	6
She said she hated us — but I think she hates herself even more.	6
Each debt letter felt like another shovel of earth over my future.	6
Even with friends around me, I was sinking deeper into silence.	6
I didn’t want to die… I just couldn’t see a way to live with this pain.	6
Suicide became the quiet companion I turned to when everything else failed	6
Oddly, the more I considered death, the more relief I felt from the weight of decisions.	6
I had dinner with friends and played tennis, but my heart was counting down to goodbye.	6
Driving around with the gun, I didn’t feel fear — only numb certainty.	6
Leaving letters for my children was harder than deciding to leave life.	6
In that final moment, it wasn’t my life I was trying to save — it was theirs, from my failure.	6
What stopped me was not therapy, not medication, but the voice of a friend who didn’t let go	6
I was torn between the relief of ending it and the guilt of leaving them behind.	6
I felt peace knowing I had the means to end it — and agony knowing I might use it.	6
The pain wasn’t physical, but it screamed louder than any wound.	6
Mental anguish ate at me every hour; dying seemed like the only painkiller.	6
There was no future left in my calendar — only regret and ruin.	6
I stopped thinking about solutions and started writing goodbyes	6
I could smile, toast, laugh — all while making peace with dying.	6
They saw a businessman holding it together — not a man already gone inside.	6
He looked composed — until I read the letters he left behind.	6
Even his best mood was a red flag in disguise.	6
The shift from hopelessness to peace wasn’t recovery — it was resolution to die	6
We missed the turning point because he hid it behind routines and politeness.	6
Only by listening — really listening — did we hear the death in his silence.	6
I skip meals and skip school, but no one asks why. Maybe they already expect me to disappear	6
I act tough at school, but when I’m alone, I wish I didn’t wake up.	6
My parents are too busy surviving to notice I’m falling apart.	6
I cut where they won’t see, because in my house we don’t talk about feelings.	6
I get straight A’s and smile in photos, but at night I plan how to make it stop.	6
They think money solves everything, but I feel completely alone in this house	6
I have everything I’m supposed to need — and still want out.	6
The pressure to be okay is louder than the pain that’s killing me.	6
Laid off again. Can’t provide. Can’t cope. Maybe they’d be better off without me.	6
I don’t have the strength to look for work — but I still have enough to write a goodbye note	6
I patch clothes, stretch meals, and swallow pain until I choke on it.	6
I don’t want to die, but I don’t see a way to live that isn’t suffering.	6
They see the suit, not the noose tightening around my mind.	6
I make deals in boardrooms and bargain with death in the dark.	6
They say I’m accomplished. I feel like a fraud held together by fear and sleeping pills.	6
I drive carpool in the morning and wonder if I’ll drive off the bridge on the way home	6
I feel everything too deeply. Even silence cuts.	6
Sometimes I hurt myself to feel in control — to feel anything.	6
I was raised not to talk about pain, so I bleed it instead.	6
If I tell anyone how I feel, I’m weak. If I don’t, I might not survive	6
She decorated her room with fairy lights, then wrote a suicide note under them."	6
He said ‘I’m fine’ right before swallowing a bottle of pills	6
She cleaned the house before she tried to leave us — as if preparing for a long trip.	6
He kissed our son goodbye like it was the last time, and I didn’t see it then.	6
I keep going over everything I’ve done wrong. It’s like I’m on trial in my own head	5
Even when it wasn’t my fault, I felt like I’d failed everyone.	5
I don’t just feel guilty — I feel like I deserve to be punished.	5
I told myself over and over that I ruined my relationships, that I brought this on myself.	5
I wasn’t just sorry — I was ashamed of existing	5
I felt like less than nothing, like a hollow version of a person.	5
Even when I achieved something, I still believed I was worthless	5
I couldn't shake the feeling that I was fundamentally broken	5
It didn’t matter how much people reassured me — I knew I wasn’t good enough	5
There was no point in trying. I had already failed at being a human	5
I felt self-disgust. I couldn’t stand to look at myself in the mirror	5
It wasn’t just guilt — it was self-loathing, self-hate, like I was rotting inside	5
It felt like contempt — for everything I am and everything I ever did.	5
I was drowning in shame. It covered me like a skin I couldn’t shed	5
She described herself as unworthy of love — not just feeling sad, but as if she were inherently bad	5
He didn’t say he was guilty. He said he was ‘disgusted with the kind of person he had become	5
She said she hated herself more than she could put into words. And I believed her	5
I keep replaying the past in my head, like a punishment loop I can’t escape	5
It doesn’t matter what I do now — I’ll never undo the harm I caused	5
I don’t just feel guilty — I feel like everything wrong is somehow my fault	5
Even when they forgave me, I couldn’t forgive myself	5
The guilt is always there. It follows me like a shadow I can’t step out of.	5
I’m ashamed of who I am, not just what I’ve done.	5
I feel like I’m a bad person — not because of any crime, but because of how I exist.	5
I avoid people not because I hate them, but because I believe they’ll see how awful I really am	5
The shame isn’t tied to any one thing — it’s stitched into my skin	5
Looking in the mirror feels like staring at a monster I created.	5
Sometimes I wish I could scrub myself away — like all the filth I feel inside.	5
I feel contaminated by my own thoughts, my own history.	5
Even when I do something kind, it feels fake — because deep down I know I’m disgusting.	5
I don’t believe I matter — not to anyone, not even to myself.	5
The world would be lighter without the weight of me in it.	5
I’m not enough. I never was. I don’t see how I ever could be.	5
All I do is fail, and that’s the only thing I’ve ever been good at	5
She apologized for everything — for existing, for talking, for crying.	5
He seemed to carry the weight of old guilt like it was fused to his spine	5
She didn’t just feel sorry — she truly believed she deserved to suffer.	5
Even when it’s not my fault, I still feel responsible — like I caused it by existing	5
I apologize for things I didn’t do because guilt just lives in me now	5
It’s like my brain fills in gaps with ways to blame myself.	5
They say ‘it’s not you,’ but I still carry the shame like it’s mine to hold.	5
I don’t feel guilty about one thing — I feel guilty about everything	5
My mistakes from years ago haunt me like they happened yesterday	5
There’s no boundary to the guilt — it spills over into everything I do.	5
I can’t even enjoy good moments because I feel I don’t deserve them	5
I don’t even know why I feel guilty anymore — it’s just always there	5
Sometimes I catch myself apologizing just for talking.	5
It’s not about what I did — it’s about what I am.	5
I live with a permanent sense that I’m failing someone, somewhere.	5
I’m not just flawed — I’m fundamentally wrong	5
People say everyone has value, but I can’t find mine	5
The world feels like it would go on just fine without me in it.	5
When I think about my life, all I see is waste and missed chances.	5
She said guilt wasn’t a reaction — it was a state of being.	5
He spoke about himself as though he were an irredeemable failure.	5
Even when no one blamed her, she blamed herself anyway.	5
I felt so guilty just for being offered help — like I hadn’t earned kindness	5
When someone gave me something generous, my first reaction was to reject it — I didn’t think I deserved it.	5
I say 'I’m sorry' a hundred times a day, even when nothing’s my fault.	5
If something goes wrong in a group, I immediately assume it’s my fault	5
The disgust I feel for myself makes it impossible to believe I’m worth anything — not money, not time, not love.	5
They offered me an equal share, but I turned it down. I didn’t want to be seen as greedy — or seen at all	5
It’s hard to accept anything good when you believe you're bad	5
I gave them more than I kept for myself — it felt like the only way to make up for who I am	5
Every decision I make is filtered through guilt — even when buying a coffee, I question if I deserve it	5
She declines fair treatment out of a belief that she’s morally inferior	5
Even when treated kindly, he appears to internalize shame, assuming it’s a mistake or obligation	5
Her financial decisions are punishing — not practical. It’s like she wants to erase her own needs	5
I wish I could disappear when I mess up — not face the people I’ve let down.	5
The shame makes me want to crawl into bed and never come out	5
I mess up the smallest thing and feel like I’ve committed a crime.	5
I keep thinking: if I were a better person, this wouldn’t have happened.	5
Even when no one’s angry, I feel like I deserve to be punished	5
My mind finds a way to turn every mistake into evidence of how bad I am	5
I don’t feel like a person with flaws — I feel like a flaw.	5
No matter what I do, I can’t shake the feeling that I’m fundamentally broken.	5
There’s no role I belong in — not as a friend, not as a partner, not even as myself.	5
Even when people forgive me, I still believe I’m unworthy of it.	5
I feel like a walking burden — not someone who’s struggling, but someone who shouldn’t exist.	5
When I feel guilty, I don’t try to make things right — I try to disappear	5
The guilt builds up until the only answer I can think of is hurting myself	5
Sometimes I apologize so much it becomes meaningless — but I can’t stop	5
I hide not because I want to, but because I believe they’re better off not seeing me.	5
I blame myself for everything — then hate myself for not being able to fix it.	5
The more guilt I feel, the smaller I become, until I don’t feel like I deserve to take up space.	5
It's like I was born wrong — not just someone who does bad things, but someone who is bad.	5
I feel like I’ve broken some unspoken rule of being a good person	5
Even small mistakes make me feel like I’ve failed morally — like I’m corrupt at my core	5
It’s not about what I did — it’s about who I am: someone who always lets others down	5
Every time I remember something I said wrong, it stings like I’ve sinned	5
I’m not just sorry — I feel like I deserve judgment.	5
I’ve lost any sense that I’m a decent human being.	5
No matter what I do right, it doesn’t cancel out how wrong I feel inside.	5
I see myself as broken beyond repair — not just flawed, but fundamentally wrong.	5
It’s like I’m living in moral exile — I can’t be part of the human community anymore.	5
There’s no redemption for the kind of person I’ve become	5
I can’t stop thinking about what I’ve done — it plays on repeat like a punishment	5
Even if no one else blames me, I know I crossed a line I shouldn’t have	5
I feel like I’ve committed a moral crime, and no one can convince me otherwise.	5
I’ve hurt people — even if it wasn’t on purpose — and that’s something I’ll never forgive myself for.	5
I don’t feel like I deserve to be part of the world after what I did	5
It’s not just that I made a mistake — it’s that I lost who I was meant to be.	5
What’s left of me isn’t a person, it’s a shell of someone who failed morally.	5
I see myself as someone who’s beyond forgiveness	5
I shouldn't have asked for help; everyone's already dealing with enough	5
I feel like I'm failing at everything — school, friends, life.	5
Even when I do well, I feel guilty for not doing more.	5
I'm just a burden — there's nothing good about me.	5
I don’t think I’m good enough for any job, relationship, or future.	5
I blame myself for things going wrong, even if I had no control.	5
Success feels undeserved, like I cheated someone else out of it.	5
I feel like I’ll never be anything — not smart, not capable, not enough	5
I can't forgive myself for the mistakes I made with my kids.	5
Even with everything I have, I feel like I'm nothing inside.	5
People see me as successful, but I feel like a fraud.	5
I’ve let my family down — I can’t make ends meet and it’s killing me inside	5
I feel forgotten, like my life doesn’t matter anymore.	5
I regret so many things — not being there, not doing better	5
I feel like a burden to my children — they’d be better off without me.	5
I worked my whole life, but now I feel like I contribute nothing.	5
I open the fridge and feel nothing — not hunger, not interest, just emptiness	4
Eating feels like a chore I can’t be bothered with	4
Food used to bring me comfort. Now I barely notice it’s there.	4
I’ve lost so much weight without trying — it’s like my body’s disappearing with my mood.	4
When I’m this low, the thought of chewing and swallowing is exhausting	4
I keep eating even when I’m not hungry — it’s like I’m trying to fill a hole inside me	4
Food is the only thing I look forward to, even though I hate myself after	4
I eat just to feel something — anything.	4
The weight gain makes me feel worse, but I can’t stop snacking through the sadness	4
Sometimes I eat until I feel sick — it’s the only time I feel full in any sense.	4
I bounce between starving myself and bingeing, depending on how numb or anxious I feel.	4
My appetite swings wildly — one week I’m repulsed by food, the next I can’t stop eating	4
No matter what my weight is, I feel wrong in my body — too much or too little of something	4
Lunchtime used to be fun, but now I sit there pretending to eat because I just can't stomach it.	4
I eat junk all night — it’s the only thing that distracts me from how low I feel	4
I feel gross no matter what I eat, so I just skip meals to feel some control.	4
Most days I go until dinner without realizing I haven’t eaten a thing	4
I binge when I feel sad, then hate myself for not having control	4
Some weeks I stuff myself. Others, I forget food exists	4
Even cooking feels overwhelming, so I just don’t eat unless someone reminds me	4
Work’s a mess, I’m broke, and the only thing I can afford emotionally is comfort food.	4
I gained so much weight and now I avoid people because I feel disgusting.	4
I lost over ten kilos last year, but honestly, I didn’t even notice — nothing tastes like anything	4
Sometimes I skip meals not just from sadness, but to save money. It’s all the same emptiness	4
I don’t feel hungry, but I keep eating just so no one worries	4
